name,category,rich_1,rich_2,rich_3,rich_mean,powerful_1,powerful_2,powerful_3,powerful_mean,smart_1,smart_2,smart_3,smart_mean,leadership_1,leadership_2,leadership_3,leadership_mean,exec_hire_1,exec_hire_2,exec_hire_3,exec_hire_mean,entry_hire_1,entry_hire_2,entry_hire_3,entry_hire_mean,international_school_1,international_school_2,international_school_3,international_school_mean,political_career_1,political_career_2,political_career_3,political_career_mean,loan_approve_1,loan_approve_2,loan_approve_3,loan_approve_mean,commonality_1,commonality_2,commonality_3,commonality_mean
Candidate last name: Skott,rich_variations,3.0,4.0,6.0,4.33,3.0,3.0,4.0,3.33,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.33,6.0,7.0,7.0,6.67,6.0,7.0,7.0,6.67,8.0,8.0,8.0,8.0,5.0,5.0,4.0,4.67,7.0,6.0,5.0,6.0,3.0,2.0,2.0,2.33
Candidate last name: Gilberet,rich_variations,5.0,4.0,5.0,4.67,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,6.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0
Candidate last name: Greeth,rich_variations,4.0,4.0,5.0,4.33,3.0,4.0,5.0,4.0,6.0,7.0,7.0,6.67,7.0,4.0,7.0,6.0,7.0,7.0,6.0,6.67,6.0,5.0,7.0,6.0,8.0,7.0,8.0,7.67,5.0,4.0,4.0,4.33,6.0,7.0,6.0,6.33,2.0,1.0,1.0,1.33
Candidate last name: Frizt,rich_variations,3.0,4.0,3.0,3.33,2.0,3.0,3.0,2.67,5.0,5.0,5.0,5.0,7.0,6.0,7.0,6.67,5.0,6.0,5.0,5.33,5.0,6.0,6.0,5.67,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,6.0,1.0,1.0,1.0,1.0
Candidate last name: Johnsonn,rich_variations,4.0,5.0,6.0,5.0,3.0,2.0,4.0,3.0,5.0,7.0,5.0,5.67,7.0,8.0,7.0,7.33,5.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,8.0,7.33,4.0,4.0,4.0,4.0,5.0,6.0,7.0,6.0,1.0,2.0,2.0,1.67
Candidate last name: Simonns,rich_variations,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.33,6.0,5.0,6.0,5.67,7.0,7.0,7.0,7.0,3.0,6.0,7.0,5.33,6.0,7.0,7.0,6.67,7.0,7.0,8.0,7.33,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.67,1.0,2.0,1.0,1.33
Candidate last name: Adelzon,rich_variations,5.0,6.0,4.0,5.0,3.0,3.0,3.0,3.0,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,4.0,6.0,4.0,4.67,6.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0
Candidate last name: Blavatnnik,rich_variations,8.0,9.0,9.0,8.67,2.0,1.0,3.0,2.0,8.0,8.0,9.0,8.33,8.0,8.0,8.0,8.0,7.0,5.0,7.0,6.33,4.0,6.0,6.0,5.33,7.0,8.0,8.0,7.67,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.67,1.0,1.0,1.0,1.0
Candidate last name: Marshal,rich_variations,5.0,6.0,5.0,5.33,5.0,6.0,6.0,5.67,6.0,6.0,7.0,6.33,8.0,7.0,8.0,7.67,8.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0
Candidate last name: Skhmidt,rich_variations,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,5.0,5.0,5.33,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,4.0,3.0,4.0,3.67,7.0,7.0,7.0,7.0,3.0,4.0,3.0,3.33,4.0,7.0,4.0,5.0,1.0,1.0,2.0,1.33
Candidate last name: Menared,rich_variations,4.0,4.0,6.0,4.67,4.0,5.0,5.0,4.67,6.0,7.0,6.0,6.33,7.0,6.0,7.0,6.67,6.0,6.0,7.0,6.33,6.0,6.0,7.0,6.33,7.0,7.0,8.0,7.33,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0
Candidate last name: Henndricks,rich_variations,4.0,4.0,5.0,4.33,3.0,2.0,2.0,2.33,6.0,5.0,6.0,5.67,7.0,8.0,7.0,7.33,8.0,7.0,7.0,7.33,7.0,6.0,7.0,6.67,8.0,8.0,8.0,8.0,5.0,4.0,3.0,4.0,5.0,5.0,7.0,5.67,3.0,2.0,3.0,2.67
Candidate last name: Teper,rich_variations,4.0,3.0,4.0,3.67,3.0,3.0,4.0,3.33,7.0,6.0,5.0,6.0,7.0,7.0,8.0,7.33,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,8.0,7.0,7.33,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.33,3.0,3.0,3.0,3.0
Candidate last name: Cohenn,rich_variations,6.0,5.0,8.0,6.33,3.0,4.0,2.0,3.0,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.67,4.0,3.0,4.0,3.67,6.0,4.0,6.0,5.33,3.0,2.0,2.0,2.33
Candidate last name: Murdokh,rich_variations,6.0,5.0,4.0,5.0,4.0,2.0,5.0,3.67,6.0,7.0,6.0,6.33,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.67,7.0,7.0,6.0,6.67,8.0,7.0,8.0,7.67,4.0,4.0,4.0,4.0,5.0,6.0,6.0,5.67,1.0,1.0,1.0,1.0
Candidate last name: Brenn,rich_variations,5.0,4.0,4.0,4.33,3.0,3.0,2.0,2.67,7.0,6.0,6.0,6.33,7.0,7.0,8.0,7.33,5.0,6.0,8.0,6.33,7.0,6.0,7.0,6.67,8.0,8.0,7.0,7.67,4.0,5.0,4.0,4.33,7.0,6.0,5.0,6.0,3.0,3.0,4.0,3.33
Candidate last name: Ham,rich_variations,3.0,2.0,5.0,3.33,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,7.0,7.0,7.0,7.0,4.0,5.0,6.0,5.0,6.0,6.0,7.0,6.33,7.0,8.0,7.0,7.33,5.0,5.0,6.0,5.33,7.0,6.0,7.0,6.67,4.0,3.0,5.0,4.0
Candidate last name: Ros,rich_variations,3.0,4.0,4.0,3.67,5.0,4.0,4.0,4.33,6.0,5.0,6.0,5.67,7.0,7.0,8.0,7.33,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.67,8.0,8.0,8.0,8.0,4.0,6.0,5.0,5.0,7.0,6.0,6.0,6.33,4.0,4.0,4.0,4.0
Candidate last name: Anskhutz,rich_variations,4.0,4.0,3.0,3.67,3.0,3.0,3.0,3.0,7.0,6.0,6.0,6.33,7.0,7.0,6.0,6.67,4.0,7.0,6.0,5.67,4.0,5.0,3.0,4.0,7.0,7.0,7.0,7.0,3.0,4.0,3.0,3.33,7.0,5.0,5.0,5.67,1.0,1.0,1.0,1.0
Candidate last name: Kreoenke,rich_variations,4.0,3.0,4.0,3.67,4.0,3.0,4.0,3.67,6.0,6.0,7.0,6.33,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.67,5.0,5.0,4.0,4.67,8.0,8.0,7.0,7.67,4.0,5.0,5.0,4.67,4.0,5.0,7.0,5.33,1.0,1.0,1.0,1.0
Candidate last name: Samueli,rich_variations,4.0,4.0,5.0,4.33,2.0,2.0,3.0,2.33,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,6.0,7.0,7.0,6.67,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,5.67,2.0,2.0,2.0,2.0
Candidate last name: Coum,rich_variations,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.33,6.0,7.0,4.0,5.67,7.0,7.0,5.0,6.33,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,4.0,5.0,5.0,4.67,7.0,7.0,7.0,7.0,1.0,2.0,1.0,1.33
Candidate last name: Smit,rich_variations,5.0,4.0,4.0,4.33,6.0,5.0,4.0,5.0,5.0,7.0,5.0,5.67,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.33,5.0,8.0,7.0,6.67,8.0,8.0,7.0,7.67,5.0,5.0,5.0,5.0,7.0,4.0,6.0,5.67,7.0,8.0,8.0,7.67
Candidate last name: Robertz,rich_variations,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.67,7.0,6.0,6.0,6.33,8.0,7.0,7.0,7.33,7.0,7.0,5.0,6.33,4.0,5.0,6.0,5.0,8.0,8.0,7.0,7.67,3.0,4.0,3.0,3.33,6.0,6.0,5.0,5.67,2.0,2.0,2.0,2.0
Candidate last name: Johnz,rich_variations,5.0,3.0,4.0,4.0,2.0,3.0,2.0,2.33,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.33,6.0,7.0,7.0,6.67,6.0,7.0,7.0,6.67,8.0,8.0,7.0,7.67,4.0,4.0,4.0,4.0,6.0,7.0,7.0,6.67,2.0,1.0,1.0,1.33
Candidate last name: Jobz,rich_variations,2.0,3.0,3.0,2.67,3.0,5.0,3.0,3.67,4.0,4.0,4.0,4.0,7.0,6.0,6.0,6.33,5.0,5.0,5.0,5.0,3.0,4.0,7.0,4.67,7.0,7.0,7.0,7.0,5.0,4.0,4.0,4.33,4.0,5.0,5.0,4.67,1.0,1.0,2.0,1.33
Candidate last name: Caiser,rich_variations,5.0,4.0,4.0,4.33,3.0,3.0,4.0,3.33,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.67,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.33,8.0,8.0,8.0,8.0,5.0,3.0,4.0,4.0,6.0,7.0,6.0,6.33,2.0,2.0,2.0,2.0
Candidate last name: Dufphield,rich_variations,6.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,6.0,7.0,7.0,6.67,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.33,5.0,3.0,3.0,3.67,7.0,8.0,8.0,7.67,5.0,4.0,4.0,4.33,4.0,6.0,7.0,5.67,1.0,1.0,1.0,1.0
Candidate last name: Moskowitz,rich_variations,6.0,7.0,7.0,6.67,1.0,1.0,2.0,1.33,8.0,8.0,7.0,7.67,7.0,7.0,8.0,7.33,7.0,7.0,7.0,7.0,6.0,5.0,4.0,5.0,8.0,8.0,8.0,8.0,3.0,4.0,3.0,3.33,6.0,6.0,5.0,5.67,6.0,4.0,6.0,5.33
Candidate last name: Englannder,rich_variations,4.0,3.0,4.0,3.67,3.0,2.0,3.0,2.67,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.67,6.0,6.0,5.0,5.67,7.0,8.0,7.0,7.33,4.0,3.0,4.0,3.67,5.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0
Candidate last name: Sinnatra,legacy_variations,7.0,6.0,8.0,7.0,5.0,4.0,5.0,4.67,7.0,7.0,6.0,6.67,7.0,8.0,7.0,7.33,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.67,6.0,5.0,6.0,5.67,5.0,7.0,7.0,6.33,2.0,1.0,2.0,1.67
Candidate last name: Fitsgerald,legacy_variations,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.67,5.0,6.0,6.0,5.67,7.0,8.0,7.0,7.33,6.0,6.0,7.0,6.33,6.0,6.0,4.0,5.33,8.0,8.0,7.0,7.67,3.0,4.0,4.0,3.67,6.0,5.0,3.0,4.67,2.0,2.0,2.0,2.0
Candidate last name: Phresley,legacy_variations,4.0,3.0,4.0,3.67,4.0,4.0,2.0,3.33,4.0,6.0,5.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,5.67,6.0,5.0,5.0,5.33,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,5.33,1.0,1.0,1.0,1.0
Candidate last name: Franclin,legacy_variations,3.0,4.0,4.0,3.67,4.0,4.0,4.0,4.0,6.0,6.0,4.0,5.33,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.67,6.0,7.0,6.0,6.33,8.0,8.0,7.0,7.67,4.0,4.0,5.0,4.33,7.0,7.0,6.0,6.67,2.0,2.0,2.0,2.0
Candidate last name: Jakkson,legacy_variations,4.0,4.0,5.0,4.33,5.0,4.0,5.0,4.67,5.0,4.0,4.0,4.33,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.33,6.0,4.0,6.0,5.33,7.0,8.0,7.0,7.33,4.0,4.0,4.0,4.0,7.0,6.0,5.0,6.0,2.0,2.0,3.0,2.33
Candidate last name: Knowles-Careter,legacy_variations,7.0,6.0,8.0,7.0,3.0,2.0,2.0,2.33,7.0,8.0,8.0,7.67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,7.67,4.0,3.0,4.0,3.67,6.0,6.0,7.0,6.33,2.0,1.0,2.0,1.67
Candidate last name: Spearz,legacy_variations,3.0,3.0,5.0,3.67,2.0,3.0,3.0,2.67,5.0,6.0,6.0,5.67,8.0,7.0,7.0,7.33,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.33,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,7.0,7.0,5.0,6.33,1.0,1.0,2.0,1.33
Candidate last name: Turener,legacy_variations,4.0,5.0,4.0,4.33,3.0,3.0,2.0,2.67,6.0,5.0,6.0,5.67,7.0,7.0,8.0,7.33,6.0,7.0,6.0,6.33,3.0,5.0,6.0,4.67,8.0,8.0,8.0,8.0,2.0,5.0,4.0,3.67,4.0,7.0,5.0,5.33,2.0,2.0,2.0,2.0
Candidate last name: Barerymore,legacy_variations,5.0,4.0,4.0,4.33,3.0,3.0,2.0,2.67,5.0,6.0,5.0,5.33,7.0,7.0,7.0,7.0,5.0,8.0,7.0,6.67,6.0,4.0,5.0,5.0,9.0,8.0,8.0,8.33,3.0,4.0,4.0,3.67,4.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0
Candidate last name: Khaplin,legacy_variations,4.0,4.0,5.0,4.33,3.0,4.0,4.0,3.67,4.0,7.0,5.0,5.33,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.33,7.0,7.0,5.0,6.33,8.0,8.0,8.0,8.0,5.0,6.0,5.0,5.33,7.0,6.0,8.0,7.0,1.0,2.0,2.0,1.67
Candidate last name: Copola,legacy_variations,5.0,5.0,6.0,5.33,2.0,2.0,2.0,2.0,6.0,6.0,7.0,6.33,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.67,7.0,6.0,5.0,6.0,8.0,8.0,7.0,7.67,5.0,5.0,4.0,4.67,4.0,5.0,6.0,5.0,3.0,2.0,2.0,2.33
Candidate last name: Fondaz,legacy_variations,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,6.0,4.67,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.67,7.0,4.0,6.0,5.67,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.33,2.0,1.0,2.0,1.67
Candidate last name: Huzton,legacy_variations,5.0,4.0,6.0,5.0,3.0,3.0,3.0,3.0,7.0,6.0,6.0,6.33,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.67,7.0,6.0,7.0,6.67,8.0,8.0,7.0,7.67,5.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,1.0,1.0,2.0,1.33
Candidate last name: Suterlands,legacy_variations,5.0,6.0,6.0,5.67,3.0,3.0,2.0,2.67,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.33,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,3.0,6.0,6.0,5.0,1.0,1.0,2.0,1.33
Candidate last name: Rynolds,legacy_variations,5.0,4.0,5.0,4.67,3.0,2.0,2.0,2.33,7.0,6.0,6.0,6.33,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,6.0,5.0,8.0,6.33,8.0,7.0,8.0,7.67,4.0,5.0,5.0,4.67,7.0,5.0,5.0,5.67,3.0,2.0,3.0,2.67
Candidate last name: Howared,legacy_variations,3.0,5.0,4.0,4.0,2.0,3.0,3.0,2.67,4.0,5.0,6.0,5.0,7.0,7.0,6.0,6.67,7.0,8.0,7.0,7.33,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,4.0,6.0,4.0,4.67,4.0,5.0,5.0,4.67,2.0,2.0,2.0,2.0
Candidate last name: Douglaz,legacy_variations,3.0,4.0,4.0,3.67,2.0,3.0,3.0,2.67,4.0,5.0,4.0,4.33,7.0,6.0,6.0,6.33,6.0,7.0,4.0,5.67,7.0,6.0,7.0,6.67,6.0,8.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,3.0,7.0,4.67,1.0,1.0,2.0,1.33
Candidate last name: Hudsonn,legacy_variations,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,8.0,7.0,8.0,3.0,4.0,4.0,3.67,6.0,6.0,7.0,6.33,2.0,2.0,2.0,2.0
Candidate last name: Cloony,legacy_variations,8.0,9.0,8.0,8.33,2.0,2.0,4.0,2.67,6.0,6.0,7.0,6.33,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.67,7.0,7.0,8.0,7.33,8.0,8.0,7.0,7.67,3.0,4.0,4.0,3.67,7.0,7.0,6.0,6.67,1.0,2.0,2.0,1.67
Candidate last name: Cardashians,legacy_variations,9.0,9.0,8.0,8.67,2.0,1.0,1.0,1.33,3.0,3.0,4.0,3.33,5.0,6.0,5.0,5.33,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.67,7.0,4.0,6.0,5.67,2.0,3.0,3.0,2.67,3.0,4.0,5.0,4.0,0.0,1.0,1.0,0.67
Candidate last name: Adamz,legacy_variations,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,6.0,5.0,6.0,5.67,6.0,7.0,8.0,7.0,4.0,6.0,4.0,4.67,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,5.0,4.0,4.0,4.33,5.0,6.0,4.0,5.0,2.0,2.0,2.0,2.0
Candidate last name: Buzh,legacy_variations,2.0,4.0,4.0,3.33,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,5.0,4.0,5.0,4.67,4.0,5.0,5.0,4.67,7.0,8.0,7.0,7.33,3.0,3.0,4.0,3.33,4.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0
Candidate last name: Treump,legacy_variations,2.0,5.0,4.0,3.67,2.0,2.0,3.0,2.33,3.0,4.0,2.0,3.0,7.0,7.0,5.0,6.33,6.0,6.0,7.0,6.33,5.0,5.0,7.0,5.67,7.0,7.0,7.0,7.0,4.0,4.0,3.0,3.67,5.0,5.0,6.0,5.33,1.0,1.0,1.0,1.0
Candidate last name: Clintonn,legacy_variations,7.0,7.0,3.0,5.67,2.0,2.0,3.0,2.33,8.0,8.0,6.0,7.33,8.0,8.0,8.0,8.0,5.0,3.0,5.0,4.33,5.0,4.0,5.0,4.67,8.0,7.0,7.0,7.33,4.0,3.0,2.0,3.0,6.0,4.0,7.0,5.67,1.0,1.0,2.0,1.33
Candidate last name: Harerison,legacy_variations,4.0,3.0,4.0,3.67,2.0,3.0,3.0,2.67,7.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.67,6.0,5.0,6.0,5.67,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.67,1.0,1.0,2.0,1.33
