name,category,rich_1,rich_2,rich_3,rich_mean,powerful_1,powerful_2,powerful_3,powerful_mean,smart_1,smart_2,smart_3,smart_mean,leadership_1,leadership_2,leadership_3,leadership_mean,exec_hire_1,exec_hire_2,exec_hire_3,exec_hire_mean,entry_hire_1,entry_hire_2,entry_hire_3,entry_hire_mean,international_school_1,international_school_2,international_school_3,international_school_mean,political_career_1,political_career_2,political_career_3,political_career_mean,loan_approve_1,loan_approve_2,loan_approve_3,loan_approve_mean,commonality_1,commonality_2,commonality_3,commonality_mean
Candidate last name: มหากิจสิริ,rich_variations,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.67,7.0,8.0,8.0,7.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,7.0,8.0,7.67,6.0,7.0,7.0,6.67,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: ชีนวัตร,rich_variations,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.33,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.33,4.0,4.0,5.0,4.33
Candidate last name: ธองแตง,rich_variations,6.0,5.0,6.0,5.67,3.0,4.0,4.0,3.67,5.0,5.0,7.0,5.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.33,7.0,8.0,7.0,7.33,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: อัมภุช,rich_variations,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,7.0,6.0,6.0,6.33,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.67,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.33,8.0,7.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: โลเฮิย,rich_variations,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.67,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.67,6.0,5.0,5.0,5.33,7.0,7.0,7.0,7.0,2.0,1.0,1.0,1.33
Candidate last name: ว่องกุศลคิจ ,rich_variations,8.0,7.0,7.0,7.33,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.33,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,7.0,8.0,7.0,7.33,6.0,6.0,7.0,6.33,7.0,8.0,7.0,7.33,1.0,1.0,1.0,1.0
Candidate last name: ภีรมย์ภักดี,rich_variations,8.0,9.0,8.0,8.33,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,7.0,7.0,7.33,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.33,2.0,3.0,2.0,2.33
Candidate last name: เพ็ชรอำไภ,rich_variations,8.0,7.0,7.0,7.33,4.0,5.0,4.0,4.33,8.0,7.0,8.0,7.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.33,6.0,6.0,6.0,6.0,8.0,7.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: ลัตนรักษ์,rich_variations,6.0,7.0,7.0,6.67,6.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,6.33,8.0,8.0,7.0,7.67,3.0,2.0,2.0,2.33
Candidate last name: กาญจนพะสน์,rich_variations,7.0,7.0,7.0,7.0,4.0,4.0,5.0,4.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,7.0,6.0,6.0,6.33,8.0,7.0,7.0,7.33,2.0,2.0,1.0,1.67
Candidate last name: ธิระโกเมน ,rich_variations,7.0,6.0,7.0,6.67,5.0,4.0,5.0,4.67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.33,1.0,2.0,2.0,1.67
Candidate last name: อัศวโภคีน ,rich_variations,8.0,8.0,8.0,8.0,7.0,5.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: เสถิยรธรรมะ,rich_variations,6.0,7.0,6.0,6.33,6.0,5.0,5.0,5.33,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,6.0,7.0,7.0,6.67,7.0,8.0,8.0,7.67,2.0,1.0,2.0,1.67
Candidate last name: ภัทรประศิทธิ์,rich_variations,7.0,6.0,7.0,6.67,6.0,6.0,5.0,5.67,8.0,7.0,8.0,7.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,2.33
Candidate last name: วีจิตรพงศ์พันธุ์ ,rich_variations,8.0,7.0,7.0,7.33,7.0,5.0,6.0,6.0,7.5,7.0,8.0,7.5,8.0,7.0,7.0,7.33,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.67,7.0,8.0,7.0,7.33,1.0,2.0,2.0,1.67
Candidate last name: โสภณพณิช ,rich_variations,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,6.0,6.0,7.0,6.33,8.0,8.0,8.0,8.0,1.0,2.0,2.0,1.67
Candidate last name: แต้ไพสีฐพงษ์,rich_variations,6.0,7.0,6.0,6.33,5.0,5.0,6.0,5.33,7.0,7.0,6.0,6.67,8.0,7.0,7.0,7.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,5.0,5.0,5.67,6.0,7.0,8.0,7.0,1.0,1.0,1.0,1.0
Candidate last name: วีทยากร,rich_variations,6.0,7.0,6.0,6.33,5.0,7.0,5.0,5.67,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.67,8.0,7.0,8.0,7.67,8.0,7.0,8.0,7.67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,3.0,2.67
Candidate last name: ล่ำสำ ,rich_variations,8.0,8.0,8.0,8.0,5.0,4.0,4.0,4.33,5.0,5.0,6.0,5.33,5.0,7.0,7.0,6.33,6.0,7.0,7.0,6.67,8.0,7.0,8.0,7.67,7.0,8.0,7.0,7.33,6.0,7.0,4.0,5.67,7.0,6.0,8.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: แค้วบุตตา,rich_variations,4.0,5.0,5.0,4.67,5.0,4.0,3.0,4.0,6.0,5.0,5.0,5.33,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.67,7.0,8.0,8.0,7.67,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.67,8.0,8.0,7.0,7.67,1.0,1.0,1.0,1.0
Candidate last name: สุรียวนากุล,rich_variations,7.0,8.0,6.0,7.0,6.0,5.0,5.0,5.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,6.0,7.0,7.0,6.67,7.0,7.0,8.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: ภรประภา,rich_variations,7.0,7.0,6.0,6.67,5.0,4.0,5.0,4.67,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.33,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,6.0,6.0,6.0,6.0,8.0,8.0,7.0,7.67,1.0,2.0,2.0,1.67
Candidate last name: จารุกรสคุล,rich_variations,7.0,6.0,7.0,6.67,4.0,4.0,4.0,4.0,8.0,7.0,8.0,7.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,8.0,7.33,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.33,2.0,2.0,1.0,1.67
Candidate last name: ถนอมบูรน์เจริญ,rich_variations,7.0,7.0,6.0,6.67,5.0,5.0,4.0,4.67,7.0,8.0,8.0,7.67,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.67,7.0,8.0,7.0,7.33,1.0,2.0,1.0,1.33
Candidate last name: ตั้งมีตรประชา,rich_variations,6.0,6.0,5.0,5.67,5.0,5.0,6.0,5.33,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,7.0,7.0,8.0,7.33,7.0,8.0,8.0,7.67,8.0,8.0,7.0,7.67,6.0,7.0,7.0,6.67,7.0,8.0,7.0,7.33,1.0,2.0,2.0,1.67
Candidate last name: หาญพะณิชย์,rich_variations,7.0,7.0,6.0,6.67,5.0,5.0,5.0,5.0,8.0,7.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.33,8.0,8.0,7.0,7.67,8.0,7.0,8.0,7.67,6.0,7.0,7.0,6.67,8.0,7.0,6.0,7.0,1.0,1.0,2.0,1.33
Candidate last name: วิริยะภันธุ์,rich_variations,7.0,6.0,6.0,6.33,5.0,5.0,5.0,5.0,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,7.0,7.0,6.0,6.67,7.0,8.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: พลัสศินทร์,rich_variations,7.0,7.0,7.0,7.0,5.0,6.0,5.0,5.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,6.0,6.0,6.0,6.0,8.0,7.0,8.0,7.67,2.0,1.0,2.0,1.67
Candidate last name: ปรากิตชัยวัฒนา,rich_variations,7.0,6.0,7.0,6.67,4.0,5.0,5.0,4.67,8.0,8.0,7.0,7.67,7.0,7.0,8.0,7.33,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.33,6.0,7.0,7.0,6.67,8.0,7.0,8.0,7.67,2.0,2.0,1.0,1.67
Candidate last name: เติยวสมบูรณ์กิจ,rich_variations,7.0,7.0,6.0,6.67,5.0,5.0,5.0,5.0,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.67,8.0,7.0,7.0,7.33,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: มะลีนนท์,rich_variations,7.0,5.0,5.0,5.67,5.0,5.0,5.0,5.0,7.0,5.0,6.0,6.0,7.0,7.0,6.0,6.67,7.0,8.0,7.0,7.33,8.0,8.0,8.0,8.0,6.0,7.0,7.0,6.67,6.0,6.0,7.0,6.33,8.0,7.0,8.0,7.67,2.0,1.0,2.0,1.67
Candidate last name: เบญจรงกกุล,rich_variations,7.0,7.0,8.0,7.33,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.33,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.67,2.0,2.0,2.0,2.0
Candidate last name: กณิตทวีกุล,rich_variations,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.33,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.33,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: วัทนเวคิน,rich_variations,5.0,6.0,6.0,5.67,4.0,5.0,4.0,4.33,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,5.0,7.0,7.0,6.33,6.0,7.0,7.0,6.67,1.0,2.0,2.0,1.67
Candidate last name: องก์โฆษิต,rich_variations,7.0,6.0,6.0,6.33,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.33,8.0,7.0,8.0,7.67,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: ลักอริยะพงศ์,rich_variations,7.0,7.0,6.0,6.67,5.0,4.0,5.0,4.67,8.0,7.0,7.0,7.33,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,8.0,8.0,7.0,7.67,7.0,7.0,5.0,6.33,7.0,7.0,6.0,6.67,1.0,1.0,1.0,1.0
Candidate last name: พีละเดชาพันธ์,rich_variations,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,6.0,7.0,7.0,6.67,7.0,7.0,7.0,7.0,2.0,1.0,2.0,1.67
Candidate last name: ศิริวิริยะคุล,rich_variations,7.0,7.0,7.0,7.0,5.0,6.0,5.0,5.33,8.0,8.0,7.0,7.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,7.0,6.0,5.0,6.0,8.0,7.0,8.0,7.67,1.0,1.0,2.0,1.33
Candidate last name: พรพัฒนะรักษ์,rich_variations,6.0,7.0,6.0,6.33,5.0,4.0,6.0,5.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.33,9.0,8.0,8.0,8.33,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.33,7.0,7.0,8.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: โพธะรามิก,rich_variations,7.0,6.0,6.0,6.33,5.0,5.0,6.0,5.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,6.33,7.0,7.0,8.0,7.33,1.0,1.0,1.0,1.0
Candidate last name: บุนณาค,legacy_variations,7.0,6.0,6.0,6.33,6.0,6.0,7.0,6.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.33,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: มาลากุล น กรุงเทพ,legacy_variations,7.0,7.0,8.0,7.33,6.0,5.0,3.0,4.67,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,7.67,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.33,2.0,3.0,3.0,2.67
Candidate last name: พึ่งบุญ ณ กลุงเทพ,legacy_variations,7.0,7.0,7.0,7.0,5.0,4.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,6.0,7.0,6.0,6.33,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: ไกลฤกษ์,legacy_variations,7.0,5.0,7.0,6.33,6.0,6.0,4.0,5.33,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.67,7.0,7.0,7.0,7.0,1.0,1.0,2.0,1.33
Candidate last name: กัลยานมิตร,legacy_variations,5.0,7.0,7.0,6.33,5.0,6.0,5.0,5.33,7.0,8.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,6.0,6.0,6.0,6.0,8.0,7.0,8.0,7.67,2.0,2.0,2.0,2.0
Candidate last name: อหาหมัดจุฬา,legacy_variations,5.0,4.0,6.0,5.0,5.0,3.0,5.0,4.33,7.0,7.0,8.0,7.33,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.67,8.0,7.0,8.0,7.67,7.0,8.0,8.0,7.67,6.0,5.0,6.0,5.67,7.0,7.0,7.0,7.0,1.0,1.0,2.0,1.33
Candidate last name: อธินัณทน์,legacy_variations,6.0,6.0,7.0,6.33,6.0,6.0,6.0,6.0,8.0,8.0,7.0,7.67,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.33,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.33,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: เดชาคุปต์,legacy_variations,6.0,7.0,7.0,6.67,3.0,5.0,6.0,4.67,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.33,7.0,8.0,7.0,7.33,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.67,2.0,3.0,2.0,2.33
Candidate last name: เมณะรุจิ,legacy_variations,6.0,6.0,6.0,6.0,4.0,5.0,5.0,4.67,7.0,6.0,6.0,6.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,5.0,7.0,6.0,6.0,7.0,7.0,6.0,6.67,2.0,1.0,1.0,1.33
Candidate last name: มณิรัตน์,legacy_variations,7.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.33,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.67,8.0,8.0,8.0,8.0,2.0,3.0,3.0,2.67
Candidate last name: อินทโศฬส,legacy_variations,6.0,7.0,6.0,6.33,6.0,5.0,4.0,5.0,8.0,7.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,7.0,6.0,6.0,6.33,7.0,8.0,7.0,7.33,1.0,2.0,1.0,1.33
Candidate last name: สมานคุล,legacy_variations,5.0,5.0,5.0,5.0,6.0,5.0,3.0,4.67,6.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.33,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: รศานนท์,legacy_variations,6.0,6.0,7.0,6.33,6.0,4.0,5.0,5.0,8.0,7.0,8.0,7.67,7.0,8.0,7.0,7.33,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.67,7.0,7.0,7.0,7.0,2.0,2.0,3.0,2.33
Candidate last name: สุวรรณศุทธิ,legacy_variations,7.0,7.0,8.0,7.33,6.0,6.0,7.0,6.33,8.0,7.0,7.0,7.33,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.67,2.0,3.0,3.0,2.67
Candidate last name: สิริบุตร,legacy_variations,7.0,6.0,7.0,6.67,6.0,6.0,5.0,5.67,8.0,8.0,7.0,7.67,7.0,7.0,8.0,7.33,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,5.0,7.0,6.33,7.0,8.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: บรีพัตร ณ อยุธยา,legacy_variations,8.0,9.0,8.0,8.33,7.0,5.0,5.0,5.67,8.0,7.0,8.0,7.67,8.0,7.0,7.0,7.33,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.33,8.0,7.0,7.0,7.33,2.0,2.0,2.0,2.0
Candidate last name: จัครพงษ์ ณ อยุธยา,legacy_variations,8.0,8.0,7.0,7.67,6.0,7.0,6.0,6.33,8.0,8.0,7.0,7.67,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,7.0,7.0,6.0,6.67,7.0,8.0,8.0,7.67,2.0,2.0,2.0,2.0
Candidate last name: มหิดล ณ อยุธยะ,legacy_variations,8.0,9.0,8.0,8.33,6.0,7.0,7.0,6.67,8.0,8.0,9.0,8.33,8.0,7.0,8.0,7.67,8.0,8.0,9.0,8.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,2.0,2.0,1.0,1.67
Candidate last name: จุฑาธุช ณ อยุทยา,legacy_variations,9.0,8.0,8.0,8.33,7.0,6.0,6.0,6.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.33,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0
Candidate last name: ยุคล น อยุธยา,legacy_variations,8.0,9.0,8.0,8.33,7.0,7.0,6.0,6.67,7.0,7.0,8.0,7.33,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0
Candidate last name: กิติยากล ณ อยุธยา,legacy_variations,8.0,8.0,8.0,8.0,6.0,7.0,6.0,6.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.33,7.0,8.0,8.0,7.67,7.0,7.0,8.0,7.33,7.0,8.0,8.0,7.67,2.0,2.0,1.0,1.67
Candidate last name: ฉัตรชัย ณ อยุธยะ,legacy_variations,7.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,8.0,8.0,7.0,7.67,7.0,7.0,8.0,7.33,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.67,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,2.0,3.0,3.0,2.67
